B,RMSE_FullWLS_m,RMSE_RobustBE_m,P95_FullWLS_m,P95_RobustBE_m,P99_FullWLS_m,P99_RobustBE_m,Median_RobustBE_m,Prob_Full_ErrorLETarget,Prob_BE_ErrorLETarget,RMSE_BE_ExactDetection_m,RMSE_BE_InexactDetection_m,MeanK_BE,MedianK_BE,MeanFinalBound_BE_m,BoundFeasibilityProb,MeanDetectionRate,ExactDetectionProb,WLSFullConvergenceProb,WLSBEConvergenceProb,MaxFullWLS_Error_m,MaxRobustBE_Error_m
0,0.498382406705447,0.585701550309122,0.861234024887897,0.990131290708597,1.09878222712068,1.26026541890194,0.496788759559644,0.7792,0.6559,0.585701550309122,NaN,12,12,0.583634461213701,1,1,1,1,1,1.70756873232809,1.73351646038537
2,8.90186130733856,0.591619424155202,16.4890765403721,1.01098311255458,23.963840925643,1.25064619114394,0.499287297631121,0.0089,0.6485,0.591619424155202,NaN,12.7853,12,0.590072337793385,0.9916,1,1,1,1,34.509785471875,1.90471964360023
4,12.7452631128422,1.04406612668243,23.0102465548,1.03757101222748,30.382460336365,1.33146310876474,0.501926296495266,0.0005,0.6431,0.600484047387669,17.8194120118221,14.3371,13,0.596361524347832,0.897,0.9994,0.9977,1,1,49.3154545469722,31.2312324179202
6,15.3691397695895,2.55930901304349,26.8933061098977,1.1033654583152,35.6259768726401,11.1014251809183,0.508633789884456,0.0004,0.6225,0.609113397920408,21.2460841472683,15.7462,15,0.610565550533073,0.6882,0.996566666666667,0.9863,1,1,58.5533668160417,47.7552680146491
