B,RMSE_FullWLS_m,RMSE_RejectedWLS_m,RMSE_RobustBE_m,P95_FullWLS_m,P95_RobustBE_m,P99_FullWLS_m,P99_RobustBE_m,Median_RobustBE_m,Prob_Full_ErrorLETarget,Prob_BE_ErrorLETarget,RMSE_BE_ExactDetection_m,RMSE_BE_InexactDetection_m,MeanK_BE,MedianK_BE,MeanFinalBound_BE_m,BoundFeasibilityProb,MeanDetectionRate,ExactDetectionProb,WLSFullConvergenceProb,WLSBEConvergenceProb,MaxFullWLS_Error_m,MaxRobustBE_Error_m
0,0.498382406340222,0.498382406340222,0.585701549883582,0.861234025049251,0.990131289260007,1.09878222712003,1.26026541666061,0.496788759679169,0.7792,0.6559,0.585701549883582,NaN,12,12,0.583634460787,1,1,1,1,1,1.70756873165172,1.73351645835903
2,8.9018613002441,0.521581613923035,0.591619423787184,16.4890765214027,1.01098311194963,23.9638409340556,1.25064619039303,0.499287296609682,0.0089,0.6485,0.591619423787184,NaN,12.7853,12,0.590072337420701,0.9916,1,1,1,1,34.5097854708164,1.90471964638283
4,12.7452631032382,0.991276160188521,1.04406612614982,23.0102465732537,1.03757100967347,30.3824602395561,1.33146310859642,0.501926296132739,0.0005,0.6431,0.600484047032617,17.8194120034441,14.3371,13,0.596361523996676,0.897,0.9994,0.9977,1,1,49.3154545111329,31.2312324237679
6,15.3691397570554,2.52757755155784,2.55930901149162,26.8933061110641,1.10336545841654,35.6259768449316,11.1014251801807,0.508633789529612,0.0004,0.6225,0.609113397560938,21.246084134365,15.7462,15,0.610565550179652,0.6882,0.996566666666667,0.9863,1,1,58.553366721837,47.7552680072681
