PoolIndex,Label,Architecture,NORAD_CAT_ID,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,SlantRange_m,Azimuth_deg,Elevation_deg,ElevationMask_deg,Visible,H1,H2,H3,H4
1,HAPS1,HAPS,,4300163.5114,-4038986.2343,-2467878.3986,20297.389824478,45.0065792754119,80.0000001176036,15,1,-0.780042694736072,0.564742544239157,0.26944248572779,1
2,HAPS2,HAPS,,4307453.7286,-4015855.7636,-2492621.1302,39793.9362115273,135.070111198943,29.999999954838,15,1,-0.581069631611261,-0.293202237323043,0.759203879895193,1
3,HAPS3,HAPS,,4274112.7443,-4051322.6714,-2492621.1302,39793.9362070428,224.929888794128,30.000000052134,15,1,0.256771192275196,0.598061889305572,0.75920387998075,1
4,HAPS4,HAPS,,4285517.3843,-4070008.4688,-2442427.3239,46964.5667197924,314.915212423149,25.0000000504954,15,1,-0.0252680613849691,0.90461888692321,-0.425471731723341,1
5,LEO1,LEO,65175,4616907.43274116,-4563047.92739226,-2185190.84966051,688653.696451564,341.736060894043,41.197107381786,5,1,-0.482937583446704,0.777639756270174,-0.402551487343821,1
6,LEO2,LEO,66864,4977896.40136416,-3944918.8830899,-2599784.62458583,711848.907957503,84.9023959537246,40.9854857725166,5,1,-0.974315915731322,-0.116042253792627,0.192983656529154,1
7,LEO3,LEO,65348,4981859.7113184,-3689582.54548878,-2901418.42606239,890774.775695638,112.305900561776,28.5383293918015,5,1,-0.783058804093853,-0.379378602157228,0.492839512981997,1
8,LEO4,LEO,59340,4647144.02269641,-4645090.1601329,-1980010.47498654,863557.133619866,344.191143008744,31.0922084222029,5,1,-0.420138202588122,0.715142868214248,-0.558618446498431,1
9,LEO5,LEO,67736,3918666.67926719,-4438648.72087748,-3444471.07904217,1125690.57301017,211.457029692294,20.5683913948344,5,1,0.324835270229021,0.365220510862938,0.872408176062245,1
10,LEO6,LEO,59960,5395223.2802564,-3608529.01763718,-2170625.56366295,1222610.52984601,66.1290561534637,17.519264775968,5,1,-0.908623451534573,-0.342704734552468,-0.238656422994903,1
11,LEO7,LEO,65279,4111581.21558544,-5001273.02331578,-2479139.80904422,989095.82191124,283.240882643839,30.7075981159013,5,1,0.174653922636092,0.984484583814217,0.0169148319522604,1
12,LEO8,LEO,48482,4025807.87808919,-4702740.37525976,-2939066.06715668,865998.565872318,243.557510113068,30.3641332224697,5,1,0.298525670646583,0.779697527386211,0.550412744904074,1
13,MEO1,MEO,62362,10980680.803782,-9370755.5532658,15327.5893909953,8917982.68263332,7.05861232091701,50.7454972304185,5,1,-0.75088171409854,0.599152555985781,-0.277836041737106,1
14,MEO2,MEO,40081,9964926.14985572,-10450298.0146742,11488.4206918664,8924201.29265568,351.976706926185,50.7055141384717,5,1,-0.636538249510962,0.719703015353415,-0.277212241073014,1
15,MEO3,MEO,44115,13342571.8022448,-5518600.65932333,12789.0533095433,9507978.28060154,44.3166676491892,39.6034261155262,5,1,-0.952698970713936,0.156823793722411,-0.26032857876752,1
16,MEO4,MEO,43231,4612538.50896727,-13684857.1445756,11341.9945748596,9974530.60650699,305.961798760993,32.4670172825028,5,1,-0.0329045888142303,0.968199315920336,-0.24800679967767,1
17,MEO5,MEO,43234,14429615.7564096,572369.328699299,5536.49351631399,11409495.1567008,69.1561853395862,14.9815684425179,5,1,-0.889196667891667,-0.403163566858337,-0.216306320223012,1
18,MEO6,MEO,40080,14427227.7047846,571080.542847851,6597.17387916215,11407081.6662575,69.1482908546255,14.9785629508449,5,1,-0.889175454405874,-0.403135886295947,-0.216445070312284,1
19,MEO7,MEO,40079,-1217496.23861348,-14394594.4499539,7471.68924564406,11993605.5286264,287.072360541276,9.06542819980417,5,1,0.458730021278999,0.864383190732818,-0.205933161865499,1
20,GEO1,GEO,41589,-19144954.4423353,-37567142.8254615,-938.742321057731,40986538.1332465,276.427549489075,6.27790751303341,5,1,0.571633667788979,0.81830817918058,-0.0600555887181458,1
21,GEO2,GEO,41904,4394811.43993624,-41932652.177732,-3758.93503200138,37984943.7702126,294.207993364276,37.345460165785,5,1,-0.00290854081183796,0.997898772005756,-0.0647269744368545,1
22,GEO3,GEO,42692,10983057.7320762,-40707843.1857338,430.671774195381,37368226.9108266,302.171652033518,45.5833412632186,5,1,-0.179262641155452,0.981591121209375,-0.0659073307674801,1
23,GEO4,GEO,43562,19130097.4201825,-37565723.3861303,-19023.8326889237,36758370.1922087,317.143440224384,55.2029554439035,5,1,-0.403874455309339,0.912396272632076,-0.0664715430517342,1
24,GEO5,GEO,43175,28482702.533438,-31084442.9019643,8461.29597548547,36383283.1595762,349.114156884352,62.811040520396,5,1,-0.665095883363778,0.743663493713972,-0.0679122525740794,1
25,GEO6,GEO,43228,36494070.7046897,-21085906.9427766,26781.5413561716,36532887.5392705,31.1299468425218,59.3347787307815,5,1,-0.881664226221404,0.466932253567715,-0.0681356204902325,1
26,GEO7,GEO,38087,39086353.3526862,-15789550.9360646,24544.4022739591,36819981.1557768,44.9912668712253,54.092126430627,5,1,-0.945193929478172,0.319446863689937,-0.0675435930068551,1
