PoolIndex,Label,Architecture,NORAD_CAT_ID,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,SlantRange_m,Azimuth_deg,Elevation_deg,ElevationMask_deg,Visible,H1,H2,H3,H4
1,HAPS1,HAPS,,4300163.5114,-4038986.2343,-2467878.3986,20297.389824478,45.0065792754119,80.0000001176036,15,1,-0.780042694736072,0.564742544239157,0.26944248572779,1
2,HAPS2,HAPS,,4307453.7286,-4015855.7636,-2492621.1302,39793.9362115273,135.070111198943,29.999999954838,15,1,-0.581069631611261,-0.293202237323043,0.759203879895193,1
3,HAPS3,HAPS,,4274112.7443,-4051322.6714,-2492621.1302,39793.9362070428,224.929888794128,30.000000052134,15,1,0.256771192275196,0.598061889305572,0.75920387998075,1
4,HAPS4,HAPS,,4285517.3843,-4070008.4688,-2442427.3239,46964.5667197924,314.915212423149,25.0000000504954,15,1,-0.0252680613849691,0.90461888692321,-0.425471731723341,1
5,LEO1,LEO,65175,4633990.73433376,-4643118.2125188,-1969006.28852056,862940.167746651,343.755567281961,30.0103588766752,5,1,-0.405196173103874,0.713369015371206,-0.571769804388349,1
6,LEO2,LEO,66864,5037540.33801709,-3779265.22915944,-2728046.35097397,836373.064989177,97.9767175504759,32.7290178301852,5,1,-0.900566611720853,-0.296827116943186,0.317605794186471,1
7,LEO3,LEO,65348,5003170.03938148,-3533515.11939536,-3055229.53377428,1054613.63878551,119.092807759829,22.3554475057659,5,1,-0.681613941067642,-0.468425873860921,0.562120659680704,1
8,LEO4,LEO,59340,4788109.14395922,-4559550.77491364,-1837534.86016677,962971.466617207,357.165075120725,26.6054679391311,5,1,-0.523149938163512,0.55248505135201,-0.648902465885345,1
9,LEO5,LEO,67736,3806547.83060026,-4381507.09123075,-3638183.05597806,1317582.83434472,207.491973232936,15.8291653925198,5,1,0.362620730697788,0.268661405776195,0.892371702103199,1
10,LEO6,LEO,59960,5511569.16976783,-3529500.99507576,-2001109.38535379,1402475.80398996,61.9984967947301,13.6268597695426,5,1,-0.875051452246952,-0.355102339902413,-0.328918354787827,1
11,LEO7,LEO,65279,4023633.55193364,-4964892.53881925,-2688284.26073964,998820.942015704,267.83903630717,30.3263042148449,5,1,0.261004868685926,0.938475621264459,0.226141475219672,1
12,LEO8,LEO,48482,4081279.87518868,-4554683.69926086,-3092054.42447749,845919.858211871,226.446458514428,31.4202649318998,5,1,0.240035511148463,0.62317991404774,0.744331746007885,1
13,MEO1,MEO,62362,11062092.7944166,-9274424.85583553,15277.2545381014,8922273.5357473,8.32791923328752,50.6497673004739,5,1,-0.759645183093316,0.588067760989907,-0.277696784798527,1
14,MEO2,MEO,40081,10055763.7203676,-10362879.2220994,11488.9335060069,8919996.93632683,353.247331315897,50.7975651366664,5,1,-0.647021863440124,0.710241924138948,-0.277342959935661,1
15,MEO3,MEO,44115,13390237.2700182,-5401875.13999221,12740.3786694028,9535866.18747168,45.0643713450216,39.1415279354053,5,1,-0.95491132218659,0.144124474719322,-0.259562136196205,1
16,MEO4,MEO,43231,4731796.92755123,-13644039.1534021,11423.7744670706,9939690.70347518,306.539116649901,32.9670049197313,5,1,-0.0450181258305727,0.967486414372105,-0.248884323234933,1
17,MEO5,MEO,43234,14424096.8402752,698302.604315014,5394.68888224092,11455930.6316977,69.4878306664592,14.4895744379923,5,1,-0.885110645788482,-0.412522228963934,-0.215417165802831,1
18,MEO6,MEO,40080,14421723.0268187,697046.385973929,6501.8407251875,11453549.9466086,69.4799270158065,14.4862918434214,5,1,-0.885087365343457,-0.412498294653352,-0.215558605992558,1
19,MEO7,MEO,40079,-1091908.58488791,-14404638.7760236,7574.25258685466,11945262.2737177,287.362882008778,9.54289187778724,5,1,0.450072936235318,0.868722268587311,-0.206775172902924,1
20,GEO1,GEO,41589,-19144955.7571328,-37567143.7129002,-938.390833394566,40986539.6321361,276.42754950804,6.27790663675975,5,1,0.571633678962932,0.818308170906767,-0.0600555950975807,1
21,GEO2,GEO,41904,4394817.0198747,-41932634.4580622,-3712.8620436805,37984929.0862001,294.208074423955,37.3454289962613,5,1,-0.00290868883495252,0.99789869127606,-0.064728212386777,1
22,GEO3,GEO,42692,10983056.0802045,-40707821.0203862,457.801716492343,37368206.6454724,302.171704107429,45.5833168077569,5,1,-0.179262694167073,0.981591060380772,-0.065908092526747,1
23,GEO4,GEO,43562,19130115.7701194,-37565688.0514009,-18999.6123369024,36758346.9739904,317.143550582579,55.2029545589878,5,1,-0.403875209619159,0.912395887671523,-0.0664722439456791,1
24,GEO5,GEO,43175,28482708.5054983,-31084425.9531611,8502.62277894031,36383277.3339865,349.114235473669,62.8109800002732,5,1,-0.665096154000091,0.743663146946839,-0.0679133993215808,1
25,GEO6,GEO,43228,36494100.5972015,-21085837.7105383,26852.3427033126,36532886.3919039,31.1300456316284,59.3346245380222,5,1,-0.881665072147005,0.466930373166176,-0.0681375606469153,1
26,GEO7,GEO,38087,39086356.7480199,-15789511.487517,24579.1059111966,36819974.1073561,44.9912830691826,54.0920457962835,5,1,-0.945194202630405,0.319445853451536,-0.0675445484587192,1
