PoolIndex,Label,Architecture,NORAD_CAT_ID,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,SlantRange_m,Azimuth_deg,Elevation_deg,ElevationMask_deg,Visible,H1,H2,H3,H4
1,HAPS1,HAPS,,4300163.5114,-4038986.2343,-2467878.3986,20297.389824478,45.0065792754119,80.0000001176036,15,1,-0.780042694736072,0.564742544239157,0.26944248572779,1
2,HAPS2,HAPS,,4307453.7286,-4015855.7636,-2492621.1302,39793.9362115273,135.070111198943,29.999999954838,15,1,-0.581069631611261,-0.293202237323043,0.759203879895193,1
3,HAPS3,HAPS,,4274112.7443,-4051322.6714,-2492621.1302,39793.9362070428,224.929888794128,30.000000052134,15,1,0.256771192275196,0.598061889305572,0.75920387998075,1
4,HAPS4,HAPS,,4285517.3843,-4070008.4688,-2442427.3239,46964.5667197924,314.915212423149,25.0000000504954,15,1,-0.0252680613849691,0.90461888692321,-0.425471731723341,1
5,LEO1,LEO,65175,4594327.20181001,-4477988.63728484,-2398927.35699455,550496.788398585,336.46706521558,58.1816092387151,5,1,-0.563121397976906,0.818288520567298,-0.115317770739457,1
6,LEO2,LEO,66864,4913466.04104594,-4106483.50163921,-2468628.72071634,634101.469368785,62.6231645305415,48.4626833699962,5,1,-0.992168273836377,0.124522762876891,0.00980805373408529,1
7,LEO3,LEO,65348,4955673.81837156,-3841643.79704609,-2744352.19114413,751494.893305294,101.327076921838,36.1151985550468,5,1,-0.893343579054261,-0.247346508058715,0.375175898364598,1
8,LEO4,LEO,59340,4501403.22332248,-4726118.94765654,-2120280.41605898,807594.226311861,327.361328683237,34.1832164545087,5,1,-0.268789121448537,0.865032822383825,-0.423639734195929,1
9,LEO5,LEO,67736,4026670.71014518,-4490378.20165454,-3246905.56948345,946603.087445257,217.369638654398,26.6029972906605,5,1,0.272194306164175,0.488963931202259,0.828748775971969,1
10,LEO6,LEO,59960,5273200.34976754,-3684055.33803639,-2337704.4702883,1054222.40542448,71.8865105909361,22.2211071730396,5,1,-0.938008587119879,-0.325802311661578,-0.118290930359605,1
11,LEO7,LEO,65279,4195266.87101946,-5031915.43700475,-2267317.91093522,1027032.79067693,298.01486034702,29.0261700760882,5,1,0.0867195385914084,0.977955145534965,-0.189956455400121,1
12,LEO8,LEO,48482,3966504.24234638,-4845828.20409187,-2782792.13229067,934495.277251768,258.374822314285,27.2265586916874,5,1,0.340104916670644,0.875664959773032,0.342840376680093,1
13,MEO1,MEO,62362,10898431.371388,-9466371.27756598,15376.0930393568,8914416.12498007,5.78341444073708,50.8254936753428,5,1,-0.741955569261418,0.610118236190038,-0.277952641848072,1
14,MEO2,MEO,40081,9873329.31984804,-10536920.3820667,11486.5360106004,8929127.37081602,350.712775347355,50.5978594925521,5,1,-0.625928873785575,0.729007066089448,-0.277059095777734,1
15,MEO3,MEO,44115,13293889.3807131,-5634905.48036861,12836.2011441176,9480646.9131063,43.5545677757545,40.0608583062817,5,1,-0.950310541310512,0.169543498494539,-0.26108404239316,1
16,MEO4,MEO,43231,4492928.88752894,-13724632.6264085,11258.8604900336,10009818.9117645,305.394857516009,31.9656135942818,5,1,-0.0208393586959467,0.968759702563891,-0.247124178941405,1
17,MEO5,MEO,43234,14434035.4031189,446392.331895169,5677.63783117878,11363268.9821395,68.8202999629095,15.474722959814,5,1,-0.893202892435859,-0.393717316175149,-0.217198682979552,1
18,MEO6,MEO,40080,14431632.6584891,445071.028232563,6691.71966475517,11360822.993636,68.8124118586077,15.4719989177166,5,1,-0.893183705390718,-0.393685780111801,-0.217334707219695,1
19,MEO7,MEO,40079,-1342991.13786801,-14383454.8393022,7368.23410557406,12042087.3508033,286.784932937762,8.58929996902373,5,1,0.467304517454596,0.859978100381598,-0.205095477352831,1
20,GEO1,GEO,41589,-19144953.1316749,-37567141.9340662,-939.089333867347,40986536.6337528,276.427549472773,6.27790837953716,5,1,0.571633656724387,0.81830818736992,-0.0600555824487741,1
21,GEO2,GEO,41904,4394805.9355257,-41932669.8965554,-3804.99116939083,37984958.4547502,294.207912408794,37.3454914174702,5,1,-0.00290839477716152,0.997898852699315,-0.0647257369306155,1
22,GEO3,GEO,42692,10983059.4791316,-40707865.3346948,403.53791521464,37368247.1769226,302.171600084777,45.5833658381813,5,1,-0.179262590687512,0.981591181579912,-0.065906568902918,1
23,GEO4,GEO,43562,19130079.1739795,-37565758.6997218,-19047.9633117453,36758393.4390449,317.143330237124,55.2029563232077,5,1,-0.403873703508084,0.912396656306753,-0.0664708445479778,1
24,GEO5,GEO,43175,28482696.6011869,-31084459.8384018,8419.92807995477,36383288.9997112,349.11407839806,62.8111011162664,5,1,-0.665095613555822,0.743663839843819,-0.0679111046703741,1
25,GEO6,GEO,43228,36494040.9124619,-21085976.1877742,26710.6118212587,36532888.7725706,31.1298483461145,59.3349330818663,5,1,-0.881663380967021,0.466934133220059,-0.0681336766645739,1
26,GEO7,GEO,38087,39086350.0107274,-15789590.3505974,24509.5809273167,36819988.2359048,44.9912509804185,54.0922071564024,5,1,-0.945193656961717,0.319447872729045,-0.0675426343003043,1
