Label,X_ECEF_m,Y_ECEF_m,Z_ECEF_m
HAPS1,4300163.51144685,-4038986.23432267,-2467878.39856427
HAPS2,4307453.72860873,-4015855.76363064,-2492621.1302015
HAPS3,4274112.74426637,-4051322.67138652,-2492621.1302015
HAPS4,4285517.38425559,-4070008.46879583,-2442427.32388745
