PoolIndex,Label,Architecture,NORAD_CAT_ID,Visible,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,FSPL_dB,EIRP_band_dBW,q_link_dBHz,CN0_positioning_dBHz,Gamma_Hz,SigmaRho_m,VarianceRho_m2
1,HAPS1,HAPS,,1,80.0000001176036,20.297389824478,31.15,-9.1,12.3,0.464872051720008,148.46796487402,-9.0012436628784,82.9659194113818,62.9659194113818,1979666.07672871,0.234398178491661,0.0549425060802084
2,HAPS2,HAPS,,1,29.999999954838,39.7939362115273,31.15,-9.1,12.3,0.915619201385096,154.315499008862,-9.0012436628784,76.6676381268749,56.6676381268749,464262.721273013,0.484025560654648,0.234280743367047
3,HAPS3,HAPS,,1,30.000000052134,39.7939362070428,31.15,-9.1,12.3,0.915619201385093,154.315499007883,-9.0012436628784,76.6676381278537,56.6676381278537,464262.721377651,0.484025560600102,0.234280743314243
4,HAPS4,HAPS,,1,25.0000000504954,46.9645667197925,31.15,-9.1,12.3,1.08326980194116,155.75456742046,-9.0012436628784,75.06091911472,55.06091911472,320694.795186832,0.582377043415382,0.339163020697242
5,LEO1,LEO,65175,1,41.197107381786,688.653696451564,20,16.2553706350802,10.5,0.867738682154095,175.230617572649,16.3541269722018,79.3557707173991,59.3557707173991,862138.563895153,0.355190766315055,0.126160480475476
6,LEO2,LEO,66864,1,40.9854857725166,711.848907957503,20,16.2768583677137,10.5,0.871421558176867,175.518356375801,16.3756147048353,79.0858367708573,59.0858367708573,810184.027724612,0.366402446210166,0.134250752588794
7,LEO3,LEO,65348,1,28.5383293918015,890.774775695638,20,17.5407234771402,10.5,1.19631915729335,177.465958123373,17.6394798142618,78.0772025335951,58.0772025335951,642273.86946768,0.411519175091065,0.16934803146763
8,LEO4,LEO,59340,1,31.0922084222029,863.557133619866,20,17.2814065294379,10.5,1.10673640187095,177.196421435657,17.3801628665595,78.1770050290312,58.1770050290312,657204.461314448,0.406817804390074,0.165500725968761
9,LEO5,LEO,67736,1,20.5683913948344,1125.69057301017,20,11.8139241822392,10.5,1.62680436654697,179.498980496199,11.9126805193608,69.8868956566148,49.8868956566148,97429.2962702974,1.05658738261723,1.11637689710593
10,LEO6,LEO,59960,1,17.519264775968,1222.61052984601,20,7.62645695899601,10.5,1.89862835307085,180.216362550703,7.72521329611762,64.7102223923437,44.7102223923437,29581.6394353225,1.91751638396445,3.6768690827721
11,LEO7,LEO,65279,1,30.7075981159013,989.09582191124,20,17.3204592682316,10.5,1.11921980526285,178.375367260116,17.4192156053532,77.0246285399745,57.0246285399745,504037.50600777,0.46453535823145,0.215793099047222
12,LEO8,LEO,48482,1,30.3641332224697,865.998565872318,20,17.3553341651031,10.5,1.13065171576205,177.220943369464,17.4540905022247,78.202495416999,58.202495416999,661073.185601887,0.405625670631763,0.164532184675468
13,MEO1,MEO,62362,1,50.7454972304185,8917.98268263332,20,29.7,18.4,0.738093353161127,197.475932406891,29.7987563371216,78.58473057707,58.58473057707,721893.377504672,0.388162587464118,0.150670194306839
14,MEO2,MEO,40081,1,50.7055141384717,8924.20129265568,20,29.7,18.4,0.738514669366132,197.481987065067,29.7987563371216,78.5782546026888,58.5782546026888,720817.729663451,0.388452099350203,0.15089503348958
15,MEO3,MEO,44115,1,39.6034261155262,9507.97828060154,20,29.7,18.4,0.896571297119226,198.032363532952,29.7987563371216,77.8698215070506,57.8698215070506,612325.224934502,0.421462683154035,0.177630793291398
16,MEO4,MEO,43231,1,32.4670172825028,9974.53060650699,20,29.7,18.4,1.06468412731852,198.448449259001,29.7987563371216,77.2856229508022,57.2856229508022,535256.92537026,0.450784583923713,0.203206741103275
17,MEO5,MEO,43234,1,14.9815684425179,11409.4951567008,20,29.7,18.4,2.21090524925566,199.615928479979,29.7987563371216,74.9719226078867,54.9719226078867,314189.929489148,0.588374812114147,0.346184919530358
18,MEO6,MEO,40080,1,14.9785629508449,11407.0816662575,20,29.7,18.4,2.21133871812097,199.614090928985,29.7987563371216,74.9733266900154,54.9733266900154,314291.524099062,0.588279708466202,0.34607301539308
19,MEO7,MEO,40079,1,9.06542819980417,11993.6055286264,20,29.7,18.4,3.62737516951422,200.04959512788,29.7987563371216,73.1217860397271,53.1217860397271,205200.589448258,0.728049488418808,0.530056057586888
20,GEO1,GEO,41589,1,6.27790751303341,40986.5381332465,19.95,37.9151498112135,20.5205999132796,5.12729197697546,210.701682757066,38.0139061483351,71.3055313275736,51.3055313275736,135068.206383096,0.897374318759024,0.805280667968222
21,GEO2,GEO,41904,1,37.345460165785,37984.9437702126,19.95,37.9151498112135,20.5205999132796,0.924261193336946,210.041087757394,38.0139061483351,76.1691571108837,56.1691571108837,413919.33256955,0.51261622429804,0.262775393413578
22,GEO3,GEO,42692,1,45.5833412632186,37368.2269108266,19.95,37.9151498112135,20.5205999132796,0.784962752785822,209.898907829478,38.0139061483351,76.4506354793512,56.4506354793512,441635.064668075,0.496270464609296,0.246284374043527
23,GEO4,GEO,43562,1,55.2029554439035,36758.3701922087,19.95,37.9151498112135,20.5205999132796,0.682768283527637,209.755982944714,38.0139061483351,76.695754833373,56.695754833373,467278.160239457,0.48246127627322,0.232768883103185
24,GEO5,GEO,43175,1,62.811040520396,36383.2831595762,19.95,37.9151498112135,20.5205999132796,0.630322584186196,209.666895728843,38.0139061483351,76.8372877485856,56.8372877485856,482757.216838113,0.474663476342626,0.225305415773667
25,GEO6,GEO,43228,1,59.3347787307815,36532.8875392705,19.95,37.9151498112135,20.5205999132796,0.651824569881426,209.70253799975,38.0139061483351,76.7801434919831,56.7801434919831,476446.728464439,0.477796570780255,0.228289563049372
26,GEO7,GEO,38087,1,54.092126430627,36819.9811557768,19.95,37.9151498112135,20.5205999132796,0.692224314419515,209.770529238435,38.0139061483351,76.6717525087598,56.6717525087598,464702.758922212,0.483796338952381,0.234058897583727
