PoolIndex,Label,Architecture,NORAD_CAT_ID,Visible,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,FSPL_dB,EIRP_band_dBW,q_link_dBHz,CN0_positioning_dBHz,Gamma_Hz,SigmaRho_m,VarianceRho_m2
1,HAPS1,HAPS,,1,80.0000001176036,20.297389824478,31.15,-9.1,12.3,0.464872051720008,148.46796487402,-9.0012436628784,82.9659194113818,62.9659194113818,1979666.07672871,0.234398178491661,0.0549425060802084
2,HAPS2,HAPS,,1,29.999999954838,39.7939362115273,31.15,-9.1,12.3,0.915619201385096,154.315499008862,-9.0012436628784,76.6676381268749,56.6676381268749,464262.721273013,0.484025560654648,0.234280743367047
3,HAPS3,HAPS,,1,30.000000052134,39.7939362070428,31.15,-9.1,12.3,0.915619201385093,154.315499007883,-9.0012436628784,76.6676381278537,56.6676381278537,464262.721377651,0.484025560600102,0.234280743314243
4,HAPS4,HAPS,,1,25.0000000504954,46.9645667197925,31.15,-9.1,12.3,1.08326980194116,155.75456742046,-9.0012436628784,75.06091911472,55.06091911472,320694.795186832,0.582377043415382,0.339163020697242
5,LEO1,LEO,65175,1,30.0103588766752,862.940167746651,20,17.3912558679068,10.5,1.14271690082284,177.190213609315,17.4900122050284,78.2570816948902,58.2570816948902,669434.621888223,0.40308451850639,0.162477129059528
6,LEO2,LEO,66864,1,32.7290178301852,836.373064989177,20,17.1152074203197,10.5,1.05709790554243,176.918600675606,17.2139637574413,78.338265176293,58.338265176293,682066.182977713,0.399334603050695,0.159468125193657
7,LEO3,LEO,65348,1,22.3554475057659,1054.61363878551,20,14.2681479079185,10.5,1.5026563410082,178.932467584138,14.3669042450401,73.0317803198935,53.0317803198935,200991.657650231,0.735632972678998,0.541155870492539
8,LEO4,LEO,59340,1,26.6054679391311,962.971466617207,20,17.7369832554113,10.5,1.27619623722306,178.142868291818,17.8357395925329,77.5166750634914,57.5166750634914,564504.627454606,0.438951411462302,0.192678341624748
9,LEO5,LEO,67736,1,15.8291653925198,1317.58283434472,20,5.30538713906055,10.5,2.09530863697743,180.866158476254,5.40414347618215,61.5426763629512,41.5426763629512,14264.8640265703,2.76131775180983,7.62487572646008
10,LEO6,LEO,59960,1,13.6268597695426,1402.47580398996,20,2.28088741683857,10.5,2.42590347117597,181.408507461087,2.37964375396017,57.645232821697,37.645232821697,5814.64603311679,4.32502440023014,18.7058360625861
11,LEO7,LEO,65279,1,30.3263042148449,998.820942015704,20,17.3591752643388,10.5,1.13192760953791,178.460352703536,17.4579316014604,76.9656512883864,56.9656512883864,497238.936418653,0.467700289365909,0.218743560672955
12,LEO8,LEO,48482,1,31.4202649318998,845.919858211871,20,17.2480961761456,10.5,1.09634521898633,177.017184318623,17.3468525132672,78.3333229756583,58.3333229756583,681290.44421727,0.399561885850302,0.15964970062425
13,MEO1,MEO,62362,1,50.6497673004739,8922.2735357473,20,29.7,18.4,0.739103498479334,197.480110584251,29.7987563371216,78.5795422543911,58.5795422543911,721031.47858858,0.388394517000677,0.150850300836189
14,MEO2,MEO,40081,1,50.7975651366664,8919.99693632683,20,29.7,18.4,0.73754595304598,197.477894017536,29.7987563371216,78.5833163665394,58.5833163665394,721658.342740106,0.388225792079044,0.150719265635401
15,MEO3,MEO,44115,1,39.1415279354053,9535.86618747168,20,29.7,18.4,0.905422761319726,198.057802876869,29.7987563371216,77.8355306989329,57.8355306989329,607509.494739935,0.42312985394588,0.179038873300262
16,MEO4,MEO,43231,1,32.9670049197313,9939.69070347518,20,29.7,18.4,1.05031899900132,198.418057323834,29.7987563371216,77.3303800142866,57.3303800142866,540801.641842688,0.448467734084017,0.201123308514452
17,MEO5,MEO,43234,1,14.4895744379923,11455.9306316977,20,29.7,18.4,2.28428697084248,199.651207417649,29.7987563371216,74.8632619486298,54.8632619486298,306426.411208313,0.595781626301033,0.354955746237904
18,MEO6,MEO,40080,1,14.4862918434214,11453.5499466086,20,29.7,18.4,2.28479350978999,199.649402194004,29.7987563371216,74.8645606333276,54.8645606333276,306518.056581228,0.595692553716243,0.35484961855298
19,MEO7,MEO,40079,1,9.54289187778724,11945.2622737177,20,29.7,18.4,3.44744257683644,200.014513707058,29.7987563371216,73.3368000532275,53.3368000532275,215615.513633454,0.710248295853534,0.504452641762849
20,GEO1,GEO,41589,1,6.27790663675975,40986.5396321361,19.95,37.9151498112135,20.5205999132796,5.12729268977937,210.701683074711,38.0139061483351,71.3055302971241,51.3055302971241,135068.1743355,0.897374425218922,0.805280859036991
21,GEO2,GEO,41904,1,37.3454289962613,37984.9290862001,19.95,37.9151498112135,20.5205999132796,0.924261852282257,210.04108439965,38.0139061483351,76.1691598096829,56.1691598096829,413919.589787994,0.512616065022698,0.262775230119355
22,GEO3,GEO,42692,1,45.5833168077569,37368.2066454724,19.95,37.9151498112135,20.5205999132796,0.784963081076574,209.898903118987,38.0139061483351,76.4506398615509,56.4506398615509,441635.510295206,0.496270214231288,0.246284125533168
23,GEO4,GEO,43562,1,55.2029545589878,36758.3469739904,19.95,37.9151498112135,20.5205999132796,0.682768290855898,209.755977458319,38.0139061483351,76.69576031244,56.69576031244,467278.74975879,0.482460971936312,0.232768589441731
24,GEO5,GEO,43175,1,62.8109800002732,36383.2773339865,19.95,37.9151498112135,20.5205999132796,0.630322926196333,209.666894338082,38.0139061483351,76.837288797336,56.837288797336,482757.333416123,0.474663419030885,0.225305361366089
25,GEO6,GEO,43228,1,59.3346245380222,36532.8863919039,19.95,37.9151498112135,20.5205999132796,0.651825609996663,209.702537726958,38.0139061483351,76.7801427246604,56.7801427246604,476446.644284613,0.47779661298942,0.228289603384162
26,GEO7,GEO,38087,1,54.0920457962835,36819.9741073561,19.95,37.9151498112135,20.5205999132796,0.692225019821897,209.770527575702,38.0139061483351,76.6717534660907,56.6717534660907,464702.861358324,0.4837962856299,0.234058845989288
