PoolIndex,Label,Architecture,NORAD_CAT_ID,Visible,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,FSPL_dB,EIRP_band_dBW,q_link_dBHz,CN0_positioning_dBHz,Gamma_Hz,SigmaRho_m,VarianceRho_m2
1,HAPS1,HAPS,,1,80.0000001176036,20.297389824478,31.15,-9.1,12.3,0.464872051720008,148.46796487402,-9.0012436628784,82.9659194113818,62.9659194113818,1979666.07672871,0.234398178491661,0.0549425060802084
2,HAPS2,HAPS,,1,29.999999954838,39.7939362115273,31.15,-9.1,12.3,0.915619201385096,154.315499008862,-9.0012436628784,76.6676381268749,56.6676381268749,464262.721273013,0.484025560654648,0.234280743367047
3,HAPS3,HAPS,,1,30.000000052134,39.7939362070428,31.15,-9.1,12.3,0.915619201385093,154.315499007883,-9.0012436628784,76.6676381278537,56.6676381278537,464262.721377651,0.484025560600102,0.234280743314243
4,HAPS4,HAPS,,1,25.0000000504954,46.9645667197925,31.15,-9.1,12.3,1.08326980194116,155.75456742046,-9.0012436628784,75.06091911472,55.06091911472,320694.795186832,0.582377043415382,0.339163020697242
5,LEO1,LEO,65175,1,80.4062965591807,480.878513591036,20,12.274129887837,10.5,0.579644055327962,172.111307364204,12.3728862249586,78.7819348054267,58.7819348054267,755428.700285041,0.379449043799412,0.143981576840288
6,LEO2,LEO,66864,1,49.9606962091958,621.045683425491,20,15.3655293079893,10.5,0.746518913898671,174.333070864633,15.4642856451109,79.4846958665788,59.4846958665788,888115.780007814,0.349957584051343,0.122470310635053
7,LEO3,LEO,65348,1,43.9635267478038,652.878450010093,20,15.9744726686845,10.5,0.823303231135809,174.767246589208,16.0732290058061,79.5826791854619,59.5826791854619,908380.742210961,0.346031984744612,0.119738134466295
8,LEO4,LEO,59340,1,34.4189453674273,804.269824333788,20,16.9436147780766,10.5,1.01114139066859,176.578635404671,17.0423711151982,78.5525943198591,58.5525943198591,716571.336466172,0.389601380463598,0.151789235659141
9,LEO5,LEO,67736,1,34.2779778058556,789.392601949281,20,16.9579284074054,10.5,1.01478825882666,176.416460952198,17.056684744527,78.7254355335024,58.7254355335024,745664.647477429,0.38192529816713,0.145866933380051
10,LEO6,LEO,59960,1,27.8539778863297,903.944909703246,20,17.6102114761573,10.5,1.22327301575003,177.593439183386,17.7089678132789,77.9922556141431,57.9922556141431,629833.217141083,0.41556352578583,0.17269304396355
11,LEO7,LEO,65279,1,25.910177411834,1107.74212808274,20,17.8075819858753,10.5,1.30798084169194,179.359373363275,17.9063383229969,76.3389841180304,56.3389841180304,430425.91543568,0.502690869527472,0.252698110306286
12,LEO8,LEO,48482,1,23.1946445285598,1041.86935556647,20,15.4206451525554,10.5,1.45113281870393,178.826865200155,15.519401489677,74.3414034708177,54.3414034708177,271731.725819509,0.632674061433349,0.400276468010569
13,MEO1,MEO,62362,1,50.8896244417758,8911.57498945385,20,29.7,18.4,0.736581586655193,197.469689232583,29.7987563371216,78.5924855178835,58.5924855178835,723183.571566583,0.387816182588776,0.150401391477731
14,MEO2,MEO,40081,1,50.4747772802389,8934.77359425547,20,29.7,18.4,0.740962520969621,197.492270953837,29.7987563371216,78.5655228623151,58.5655228623151,718707.680903175,0.389021908307775,0.151338045143423
15,MEO3,MEO,44115,1,40.5135556648317,9453.87899981025,20,29.7,18.4,0.879791847222677,197.982800702634,29.7987563371216,77.9361637872645,57.9361637872645,621750.837196892,0.418255840040633,0.174937947728095
16,MEO4,MEO,43231,1,31.4629433849282,10045.5482123742,20,29.7,18.4,1.09501033455318,198.510072760077,29.7987563371216,77.1936732424916,57.1936732424916,524043.48273202,0.455581983307328,0.207554943514239
17,MEO5,MEO,43234,1,15.9690137846431,11317.2582190465,20,29.7,18.4,2.07743039410545,199.545424413991,29.7987563371216,75.1759015290248,55.1759015290248,329298.803641949,0.574718433063963,0.330301277303497
18,MEO6,MEO,40080,1,15.966575544296,11314.7800522445,20,29.7,18.4,2.07773937979725,199.543522235922,29.7987563371216,75.1774947214025,55.1774947214025,329419.627785005,0.574613026122859,0.33018012979007
19,MEO7,MEO,40079,1,8.11451396242544,12090.7024046762,20,29.7,18.4,4.04909100636144,200.119630548549,29.7987563371216,72.6300347822107,52.6300347822107,183232.909725292,0.770457103972038,0.59360414906098
20,GEO1,GEO,41589,1,6.27790923471064,40986.5351338316,19.95,37.9151498112135,20.5205999132796,5.12729057647945,210.701682121428,38.0139061483351,71.3055333637073,51.3055333637073,135068.269708099,0.897374108397856,0.805280290422847
21,GEO2,GEO,41904,1,37.3455227496189,37984.9731398669,19.95,37.9151498112135,20.5205999132796,0.924259870275027,210.041094473252,38.0139061483351,76.1691517180879,56.1691517180879,413918.818590871,0.512616542565435,0.26277571971174
22,GEO3,GEO,42692,1,45.5833905310938,37368.267443763,19.95,37.9151498112135,20.5205999132796,0.784962091413857,209.898917250969,38.0139061483351,76.4506267192319,56.4506267192319,441634.173850419,0.49627096512114,0.246284870822268
23,GEO4,GEO,43562,1,55.2029571956807,36758.4167144551,19.95,37.9151498112135,20.5205999132796,0.682768269020628,209.755993937771,38.0139061483351,76.6957438548235,56.6957438548235,467276.979006409,0.48246188608161,0.232769471521424
24,GEO5,GEO,43175,1,62.8111617872626,36383.2948543781,19.95,37.9151498112135,20.5205999132796,0.63032189888848,209.666898520777,38.0139061483351,76.8372856419489,56.8372856419489,482756.982666627,0.474663591465392,0.225305525062825
25,GEO6,GEO,43228,1,59.335087591415,36532.8900917548,19.95,37.9151498112135,20.5205999132796,0.651822486470221,209.702538606617,38.0139061483351,76.7801449685275,56.7801449685275,476446.890450121,0.477796489557971,0.22828948543392
26,GEO7,GEO,38087,1,54.0922879744417,36819.9953476362,19.95,37.9151498112135,20.5205999132796,0.69222290121634,209.770532586316,38.0139061483351,76.6717505740824,56.6717505740824,464702.551908361,0.483796446712206,0.234059001851357
