TimeOffset_s,TimeUTC,VisibleCount,CN0_Min_dBHz,CN0_Median_dBHz,CN0_Max_dBHz,SigmaRho_Min_m,SigmaRho_Median_m,SigmaRho_Max_m
0,2026-08-01 12:00:00,26,51.3055333637073,56.7379444116755,62.9659194113818,0.234398178491661,0.48012918781979,0.897374108397856
30,2026-08-01 12:00:30,26,51.3055323502035,56.7949417686339,62.9659194113818,0.234398178491661,0.476983927034621,0.897374213107007
60,2026-08-01 12:01:00,26,44.7102223923437,56.7379491626781,62.9659194113818,0.234398178491661,0.480128923526738,1.91751638396445
90,2026-08-01 12:01:30,26,37.645232821697,56.6837568892653,62.9659194113818,0.234398178491661,0.483128628783106,4.32502440023014
