CatalogIndex,Architecture,NORAD_CAT_ID,ObjectName,TLEFile,X_TEME_km,Y_TEME_km,Z_TEME_km,VX_TEME_kms,VY_TEME_kms,VZ_TEME_kms,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,VX_ECEF_mps,VY_ECEF_mps,VZ_ECEF_mps,Azimuth_deg,Elevation_deg,SlantRange_km,Mask_deg,Visible,uX,uY,uZ,TLEAge_h,SGP4Error
1,LEO,48482,STARLINK-2525,tle\LEO\48482\48482.tle,1296.75312677338,6196.24290352311,-2623.39370242312,-5.29826349896013,-1.15633134637881,-5.36275310889407,3903411.88303337,-4983803.98648582,-2623406.717391,2165.72240037806,4512.45900627496,-5362.74745876499,269.896903505477,23.1946445285598,1041.86935556647,5,1,-0.365610904742204,-0.917850733057394,-0.154527337903661,5.60441303998232,0
2,LEO,56537,STARLINK-6311,tle\LEO\56537\56537.tle,-890.546505678,6135.48056572419,-2943.32784034424,-6.38105244601526,1.01134778128981,4.04334571049973,5266152.52610922,-3271813.71706992,-2943339.2939732,4646.01801836445,3844.61353465634,4043.34751036604,106.673745843487,16.1217564239417,1329.04659723609,5,1,0.738741476337868,0.56861040029054,-0.361860807244414,7.676414642483,0
3,LEO,57470,STARLINK-30186,tle\LEO\57470\57470.tle,-191.570565367438,5960.67474621915,-3194.30729063405,-6.30004921831305,-2.22531070673241,-3.77826691704521,4682131.77209762,-3693766.48626021,-3194318.86204598,2087.66244840348,5910.54621524385,-3778.25871024894,141.602288442464,22.3161049846274,897.402273854977,5,1,0.443280681297556,0.371914533975023,-0.815586793055476,5.99944440275431,0
4,LEO,58736,STARLINK-31076,tle\LEO\58736\58736.tle,-1002.99570996934,6376.63207494138,-2330.80465468763,-6.10669570864465,0.68472701772017,4.51000528409194,5523033.04023797,-3341180.59925044,-2330816.5074355,4214.40152508117,3826.48526993478,4510.00751637459,77.8938581345586,14.1359196170918,1422.24003519572,5,1,0.870951688068812,0.482578762019043,0.0925251073939118,7.71607320383191,0
5,LEO,59340,STARLINK-31562,tle\LEO\59340\59340.tle,869.758393214294,6421.8141458087,-2258.17553988884,-5.63644307865437,2.36260969675412,4.55587098098361,4351028.67517544,-4802568.74448212,-2258188.71601828,5088.10702207074,2471.29108539882,4555.86987624233,308.529515675035,34.4189453674273,804.269824333788,5,1,0.0829298730503578,-0.963663295952959,0.253920633641562,10.8590426445007,0
6,LEO,59544,STARLINK-31556,tle\LEO\59544\59544.tle,802.572581627052,6568.26792755287,-1818.85223351002,-5.89745531215234,-0.603267346859023,-4.79282322334379,4506322.51857224,-4845541.75093671,-1818865.65275762,2984.82899870836,4570.43117701794,-4792.81835215194,333.057421687819,22.970470824131,1064.22879181982,5,1,0.208594091358337,-0.768648924456178,0.604704337658289,8.73012264445424,0
7,LEO,59960,STARLINK-31856,tle\LEO\59960\59960.tle,-442.571795994231,6355.25861049108,-2502.14680601413,-5.05080642145916,1.78297259924772,5.43603059653312,5145622.06446001,-3756021.08842177,-2502158.98630574,4343.80988861112,2338.8960020709,5436.03005860262,80.2813359948084,27.8539778863297,903.944909703246,5,1,0.952814020488877,0.300352757555181,-0.0439734395837,10.8247171193361,0
8,LEO,60271,STARLINK-32164,tle\LEO\60271\60271.tle,1425.95796472692,5888.47238342388,-3184.87392285549,-4.40854166161917,3.75149272698475,4.97101342868608,3584786.18393018,-4884331.22806889,-3184886.41901293,5353.25982014353,693.253136180165,4971.00889396306,240.050683984808,15.4416586013865,1321.15673281998,5,1,-0.529493949837321,-0.648528499348401,-0.546851847046879,9.22499520331621,0
9,LEO,64037,STARLINK-34008,tle\LEO\64037\64037.tle,-725.670906689587,5946.85687047203,-3532.12635995883,-3.4092566742809,3.13686265822859,5.98545765056094,5015668.44146702,-3276384.58114986,-3532137.55211874,4356.63684581079,220.646410387994,5985.45335248608,133.032367645787,16.7835142627001,1497.79263433748,5,1,0.488277044469051,0.501497227559476,-0.714203093380817,9.46774631738663,0
10,LEO,64047,STARLINK-33961,tle\LEO\64047\64047.tle,-774.672177206405,5990.70336313033,-3446.06092485306,-3.39694539860947,3.03574088264555,6.04483351643339,5080772.29989419,-3267157.64779378,-3446072.17075446,4272.04024200119,271.632968353042,6044.82939957087,128.7765647118,17.2135831832007,1476.50526277216,5,1,0.539409942673454,0.514976685899333,-0.666210122052465,7.86950184032321,0
