PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,AdditionalLoss_dB,FSPL_dB,EIRP_positioning_dBW,CN0_dBHz,SigmaRho_m,VarianceRho_m2,ReceiverChain,ParameterSource
1,HAPS1,HAPS,,HAPS1,79.9999999999987,20.2973898641975,31.15,-9.1,12.3,0.464872051720008,0,148.467964891017,-29.0012436628784,62.9659193943846,0.234398178950349,0.0549425062952398,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
2,HAPS2,HAPS,,HAPS2,30.0000000000005,39.7939362087586,31.15,-9.1,12.3,0.915619201385096,0,154.315499008257,-29.0012436628784,56.6676381274792,0.484025560620972,0.234280743334446,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
3,HAPS3,HAPS,,HAPS3,30.0000000000005,39.7939362087597,31.15,-9.1,12.3,0.915619201385093,0,154.315499008258,-29.0012436628784,56.667638127479,0.484025560620984,0.234280743334458,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
4,HAPS4,HAPS,,HAPS4,24.9999999999995,46.9645667202366,31.15,-9.1,12.3,1.08326980194116,0,155.754567420543,-29.0012436628784,55.0609191146378,0.58237704342089,0.339163020703657,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
5,LEO1,LEO,65175,STARLINK-34949,80.4062965591807,480.878513591036,20,12.274129887837,10.5,0.579644055327962,0,172.111307364204,-7.62711377504136,58.7819348054267,0.37944904379941,0.143981576840287,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
6,LEO2,LEO,66864,STARLINK-36070,49.9606962091958,621.045683425491,20,15.3655293079893,10.5,0.746518913898671,0,174.333070864633,-4.53571435488905,59.4846958665788,0.349957584051343,0.122470310635053,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
7,LEO3,LEO,65348,STARLINK-34859,43.9635267478038,652.878450010093,20,15.9744726686845,10.5,0.823303231135809,0,174.767246589208,-3.92677099419386,59.5826791854619,0.346031984744612,0.119738134466295,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
8,LEO4,LEO,59340,STARLINK-31562,34.4189453674273,804.269824333788,20,16.9436147780766,10.5,1.01114139066859,0,176.578635404671,-2.95762888480179,58.5525943198591,0.389601380463598,0.151789235659141,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
9,LEO5,LEO,67736,STARLINK-36317,34.2779778058556,789.392601949281,20,16.9579284074054,10.5,1.01478825882666,0,176.416460952198,-2.94331525547297,58.7254355335024,0.38192529816713,0.145866933380051,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
10,LEO6,LEO,59960,STARLINK-31856,27.8539778863297,903.944909703246,20,17.6102114761573,10.5,1.22327301575003,0,177.593439183386,-2.29103218672111,57.9922556141431,0.41556352578583,0.17269304396355,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
11,LEO7,LEO,65279,STARLINK-35023,25.910177411834,1107.74212808274,20,17.8075819858753,10.5,1.30798084169194,0,179.359373363275,-2.09366167700308,56.3389841180304,0.502690869527472,0.252698110306286,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
12,LEO8,LEO,48482,STARLINK-2525,23.1946445285598,1041.86935556647,20,15.4206451525554,10.5,1.45113281870393,0,178.826865200155,-4.48059851032301,54.3414034708177,0.63267406143335,0.400276468010571,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
13,MEO1,MEO,62362,O3B MPOWER F7,50.8896244417758,8911.57498945385,20,29.7,18.4,0.736581586655193,0,197.469689232583,9.7987563371216,58.5924855178835,0.387816182588776,0.150401391477731,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
