LEOAvailable,CandidatePoolSize,AllCandidateBound_m,AllCandidatePDOP,Best4Bound_m,TargetReached,Kfinal,FinalBound_m,FinalPDOP,LEOSelected,MEOSelected,GEOSelected,LEOCN0Min_dBHz,LEOCN0Median_dBHz,LEOCN0Max_dBHz,LEOSigmaMin_m,LEOSigmaMedian_m,LEOSigmaMax_m,LEOGasLossMin_dB,LEOGasLossMedian_dB,LEOGasLossMax_dB
8,22,0.620168621774332,1.29219416110931,1.10357616264458,0,22,0.620168621774332,1.29219416110931,8,7,7,54.3414034708177,58.6390149266807,59.5826791854619,0.346031984744612,0.385763339315364,0.63267406143335,0.579644055327962,1.01296482474763,1.45113281870393
12,26,0.57364205287662,1.07704286909521,1.10357616264458,1,20,0.5950922507602,1.16818666265363,10,6,4,49.9318860529477,57.1656198660867,59.5826791854619,0.346031984744612,0.459127197656651,1.05112871490879,0.579644055327962,1.26562692872099,1.61435772727494
16,30,0.567093832844833,0.979819941713039,1.10357616264458,1,20,0.5950922507602,1.16818666265363,10,6,4,41.8558421236729,54.3593821554828,59.5826791854619,0.346031984744612,0.631367213625712,2.66353309181492,0.579644055327962,1.45782470452328,2.05826299888459
20,34,0.564979919463896,0.87547777065955,1.10357616264458,1,20,0.5950922507602,1.16818666265363,10,6,4,35.2107434852932,52.0432898295609,59.5826791854619,0.346031984744612,0.841914542085449,5.72417666310054,0.579644055327962,1.53367477148577,2.64638583693544
